ID,Language_ID,Language_Name,Source
259,wara1302,Warapu,
260,wels1247,Welsh,
261,west2548,West Damar,
262,west2392,Western Mari,
263,wita1237,Wita Ea,
264,wutu1241,Wutunhua,
265,yane1238,Yanesha',
266,yima1243,Yimas,
267,gura1251,Zarda Gorani,
268,chuv1255,Chuvash,
269,ewee1241,Ewe,
270,finn1318,Finnish,
271,nucl1643,Japanese,
272,halh1238,Halh Mongolian,
273,hind1269,Hindi,
274,komi1268,Komi-Zyrian,
275,lith1251,Lithuanian,
276,aleu1260,Aleut,
277,mapu1245,Mapudungun,
278,mapu1245,Mapudungun,
279,sanm1295,San Miguel El Grande Mixtec,
281,hebr1245,Modern Hebrew,
283,taga1270,Tagalog,
284,nucl1301,Turkish,
285,assa1263,Assamese,
286,kwaz1243,Kwaza,
287,slov1269,Slovak,
289,high1276,Highland Popoluca,
290,sout2672,Southeastern Pashayi,
291,wich1264,Wichí Lhamtés Güisnay (Misón La Paz dialect),
294,basq1248,Goizueta Basque,
295,huam1247,Huambisa,
297,moks1248,Moksha,
298,erzy1239,Erzya,
299,awac1239,Awa-Cuaiquer,
300,tami1289,Tamil,
301,belh1239,Belhare,
302,bond1245,Bondo (Remo),
303,czec1258,Czech,
304,chra1242,Chrau,
305,stan1290,French,
306,friu1240,Friulian,
307,guja1253,Gujari (Gojri),
308,mose1249,Mosetén,
309,osse1243,Ossetian,
310,qelt1235,Baghdad Arabic (Christian),
311,ukaa1243,Ukaan,
312,tuvi1240,Tuvan,
313,nene1249,Tundra Nenets,
314,russ1263,Russian,
315,moco1246,Mocoví,
316,kute1248,Kuteb,
317,halh1238,Halh Mongolian,
318,caml1239,Camling,
319,galo1242,Galo,
320,copi1238,Copi,
321,idom1241,Idoma,
322,nucl1440,Masalit,
323,nubi1253,Nubi,
324,wage1238,Wageman/Wagiman,
325,waal1238,Waalubal,
326,umbu1235,Umbugarla,
327,badi1246,Badimaya,
328,gune1238,Kune,
329,wand1263,Wandarang/Warndarang,
330,madh1244,Madhimadhi,
331,jami1236,Jaminjung,
332,iwai1244,Iwaidja,
333,anin1240,Enindhilyakwa/Anindilyakwa,
334,murr1259,Murrinhpatha,
335,djin1253,Djinang,
336,arab1267,Arabana,
337,umpi1239,Umpila,
338,gugu1254,Koko Bera / Gugubera,
339,nyam1271,Nyamal,
340,maun1240,Mawng,
342,yala1262,Yalarnnga,
343,kitj1240,Kija/Kitja,
344,kart1247,Kartujarra,
345,yayg1236,Yaygir,
346,koyr1242,"Songhay, Koyraboro Senni",
347,heib1243,Heiban,
348,uppe1455,Kriyol,
349,luch1239,Lucazi,
351,lagw1237,Lagwan,
354,kuwa1246,Kuwaataay/Kwatay,
355,tach1250,Tashlhiyt Berber,
357,bike1242,Bikele,
358,lega1249,Lega-Shabunda,
359,food1238,Foodo,
360,mawa1270,Mawa,
361,bagi1246,Bagirmi,
362,arbo1245,Arbore,
364,abua1245,Abu' Arapesh,
365,agut1237,Agutaynen,
366,akla1241,Aklanon,
367,akoy1238,Akoye,
368,alor1247,Alorese,
369,amar1273,Amarasi,
370,ambo1250,Ambonese Malay,
371,anem1249,Anem,
372,apma1240,Apma,
373,aral1243,Aralle-Tabulahan,
374,atay1247,Atayal,
375,awar1248,Awara,
376,baik1238,Baikeno,
377,bala1315,Balantak,
378,balu1257,Paluai,
379,bata1293,Batak Karo,
380,beka1241,Riuk Bekati',
381,blag1240,Blagar,
382,bobo1255,Bobongko,
383,boto1242,Botolan Sambal,
384,bugi1244,Buginese,
385,buli1255,Buli,
386,buna1278,Bunak,
387,buru1303,Buru,
388,cent2087,Coastal-Naga Bikol,
389,cent2100,Central Dusun,
390,cent2101,Central Melanau (Mukah dialect),
391,cham1312,Chamorro,
392,chek1238,Cheke Holo,
393,ciac1237,Cia-Cia,
394,daak1235,Da'a Kaili,
395,dehu1237,Dehu,
396,domm1246,Dom,
397,dumb1241,Dumbea,
398,ende1246,Ende,
399,fiji1243,Fijian,
400,foii1241,Foi,
401,ford1242,Fordata,
